total_LRH_notes,total_LH_notes,total_RH_notes,total_LRH_raw_notes,total_LH_raw_notes,total_RH_raw_notes,music_key,total_LRH_sharp_keys_pressed,total_LH_sharp_keys_pressed,total_RH_sharp_keys_pressed,total_LRH_flat_keys_pressed,total_LH_flat_keys_pressed,total_RH_flat_keys_pressed,average_RLH_range,average_LH_range,average_RH_range,average_RLH_note_10_range,average_LH_note_10_range,average_RH_note_10_range,average_RLH_note_20_range,average_LH_note_20_range,average_RH_note_20_range,average_RLH_note_35_range,average_LH_note_35_range,average_RH_note_35_range,average_RLH_note_50_range,average_LH_note_50_range,average_RH_note_50_range,average_RLH_note_100_range,average_LH_note_100_range,average_RH_note_100_range,RLH_note_10_range,LH_note_10_range,RH_note_10_range,RLH_note_20_range,LH_note_20_range,RH_note_20_range,RLH_note_35_range,LH_note_35_range,RH_note_35_range,RLH_note_50_range,LH_note_50_range,RH_note_50_range,RLH_note_100_range,LH_note_100_range,RH_note_100_range,average_LRH_2chord_range,average_LH_2chord_range,average_RH_2chord_range,average_LRH_3chord_range,average_LH_3chord_range,average_RH_3chord_range,average_LRH_4chord_range,average_LH_4chord_range,average_RH_4chord_range,average_LRH_5chord_range,average_LH_5chord_range,average_RH_5chord_range,average_LRH_2chord_hand_range,average_LH_2chord_hand_range,average_RH_2chord_hand_range,average_LRH_3chord_hand_range,average_LH_3chord_hand_range,average_RH_3chord_hand_range,average_LRH_4chord_hand_range,average_LH_4chord_hand_range,average_RH_4chord_hand_range,average_LRH_5chord_hand_range,average_LH_5chord_hand_range,average_RH_5chord_hand_range,large_5jumps_LRH,large_5jumps_LH,large_5jumps_RH,large_8jumps_LRH,large_8jumps_LH,large_8jumps_RH,large_9jumps_LRH,large_9jumps_LH,large_9jumps_RH,large_10jumps_LRH,large_10jumps_LH,large_10jumps_RH,average_large_5jumps_LRH,average_large_5jumps_LH,average_large_5jumps_RH,average_large_8jumps_LRH,average_large_8jumps_LH,average_large_8jumps_RH,average_large_9jumps_LRH,average_large_9jumps_LH,average_large_9jumps_RH,average_large_10jumps_LRH,average_large_10jumps_LH,average_large_10jumps_RH,total_LRHwhole_notes,total_LRHhalf_notes,total_LRHquarter_notes,total_LRHeighth_notes,total_LRH16th_notes,total_LRH32nd_notes,total_LRH64th_notes,total_LHwhole_notes,total_LHhalf_notes,total_LHquarter_notes,total_LHeighth_notes,total_LH16th_notes,total_LH32nd_notes,total_LH64th_notes,total_RHwhole_notes,total_RHhalf_notes,total_RHquarter_notes,total_RHeighth_notes,total_RH16th_notes,total_RH32nd_notes,total_RH64th_notes,average_LRHwhole_notes,average_LRHhalf_ntoes,average_LRHquarter_notes,average_LRHeighth_notes,average_LRH16th_notes,average_LRH32nd_notes,average_LRH64th_notes,average_LHwhole_notes,average_LHhalf_ntoes,average_LHquarter_notes,average_LHeighth_notes,average_LH16th_notes,average_LH32nd_notes,average_LH64th_notes,average_RHwhole_notes,average_RHhalf_ntoes,average_RHquarter_notes,average_RHeighth_notes,average_RH16th_notes,average_RH32nd_notes,average_RH64th_notes,time_signature_num,time_signature_den,Grade
128,67,61,108,49,59,2,9,4,5,0,0,0,11.876543209876543,5.641791044776119,2.540983606557377,0,0,0,0,0,0,13.0,0,3.0,7.166666666666666,0,2.3333333333333335,8.924999999999999,5.0,4.166666666666667,0,0,0,0,0,0,13,0,3,13,0,3,23,11,9,1.59375,3.5555555555555554,0,5.0,0,3.5,4.0,0,0,4.5,0,0,12.84375,3.5555555555555554,0,9.0,0,6.0,10.0,0,0,15.0,0,0,79,58,6,71,10,0,65,1,0,65,0,0,12.126582278481013,6.086206896551724,5.833333333333333,12.816901408450704,8.1,0,13.261538461538462,9.0,0,13.261538461538462,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,4,29,14,0,0,0,0.0,0.037037037037037035,0.7222222222222222,0.12962962962962962,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06779661016949153,0.4915254237288136,0.23728813559322035,0.0,0.0,0.0,4,4,4
1876,773,1103,1339,238,1101,18,38,17,21,462,91,371,15.28313725490196,8.270375161707632,3.233000906618314,4.0,0,0,4.333333333333333,8.0,4.0,4.6,5.166666666666667,3.8333333333333335,5.190476190476191,5.3809523809523805,4.199999999999999,10.369696969696973,7.438746438746439,6.766381766381767,4,0,0,6,8,4,8,9,6,11,10,8,30,21,18,3.234782608695652,6.902222222222222,6.0,4.698300283286119,3.5396341463414633,3.5,3.8158508158508155,2.6666666666666665,0,3.5,0,0,10.547826086956523,6.902222222222222,6.0,18.526912181303118,6.378048780487805,6.0,13.447552447552448,15.0,0,20.0,0,0,1221,566,266,1169,389,83,1067,338,11,1009,299,5,15.877149877149877,10.484098939929329,6.620300751879699,16.29683490162532,12.42159383033419,8.240963855421686,17.089971883786315,13.088757396449704,9.818181818181818,17.555004955401387,13.622073578595318,10.8,0,0,0,0,0,0,0,0,6,150,70,0,0,0,0,10,251,781,8,0,0,0.0,0.01194921583271098,0.2994772218073189,0.6355489171023152,0.00597460791635549,0.0,0.0,0.0,0.025210084033613446,0.6302521008403361,0.29411764705882354,0.0,0.0,0.0,0.0,0.009082652134423252,0.22797456857402362,0.709355131698456,0.007266121707538601,0.0,0.0,4,4,6
748,289,459,531,289,242,16,47,24,23,28,14,14,12.027196652719665,6.3321799307958475,4.4183006535947715,10.0,0,7.0,7.0,10.0,5.0,8.523809523809524,7.666666666666667,4.333333333333333,9.327272727272726,6.866666666666666,4.199999999999999,10.370731707317074,6.486166007905139,7.139999999999999,10,0,7,11,10,7,19,14,7,22,14,8,34,19,21,4.1395348837209305,0,5.6381578947368425,4.921875,0,3.5737704918032787,3.521505376344085,0,3.3333333333333335,3.8125,0,0,10.404651162790698,0,5.6381578947368425,13.85625,0,6.147540983606557,15.241935483870968,0,8.0,17.25,0,0,433,158,195,407,131,59,358,101,41,312,95,22,12.981524249422632,9.873417721518987,7.2615384615384615,13.427518427518427,10.717557251908397,10.135593220338983,14.170391061452515,11.524752475247524,11.073170731707316,14.932692307692308,11.68421052631579,12.863636363636363,0,0,0,0,0,0,0,0,0,15,208,66,0,0,0,0,0,12,230,0,0,0.0,0.0,0.02824858757062147,0.4143126177024482,0.5574387947269304,0.0,0.0,0.0,0.0,0.05190311418685121,0.7197231833910035,0.22837370242214533,0.0,0.0,0.0,0.0,0.0,0.049586776859504134,0.9504132231404959,0.0,0.0,2,4,7
1181,686,495,504,9,495,20,0,0,0,229,9,220,14.474874371859297,4.782798833819242,2.2484848484848485,0,0,0,0,0,0,3.0,0,3.0,2.3333333333333335,0,2.3333333333333335,5.763636363636364,0,4.133333333333334,0,0,0,0,0,0,3,0,3,3,0,3,17,0,9,4.311594202898551,4.612627986348123,0,2.8693181818181817,3.543956043956044,0,2.8306010928961753,0,0,0,0,0,4.9855072463768115,4.612627986348123,0,17.901515151515152,6.087912087912088,0,19.918032786885245,0,0,0,0,0,643,415,10,570,50,0,567,4,0,567,3,0,17.203732503888023,5.498795180722891,5.1,18.75263157894737,8.26,0,18.80952380952381,11.25,0,18.80952380952381,12.0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,5,57,317,89,0,0,0.0,0.00992063492063492,0.1130952380952381,0.6468253968253969,0.1765873015873016,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.010101010101010102,0.11515151515151516,0.6404040404040404,0.1797979797979798,0.0,0.0,4,4,5
1466,637,829,651,100,551,18,14,4,10,209,34,175,18.38293650793651,9.47723704866562,5.010856453558504,0,0,0,4.0,6.0,4.0,2.666666666666667,4.333333333333333,3.0,3.3333333333333335,3.6666666666666665,3.0,9.48095238095238,5.808333333333333,6.663043478260871,0,0,0,4,6,4,4,6,4,6,6,5,29,16,18,6.5588235294117645,8.0,5.29757785467128,4.97027027027027,3.2312925170068025,3.6975609756097563,4.728395061728399,2.9019607843137254,3.333333333333336,4.21343537414966,0,0,9.5,8.0,5.29757785467128,17.81081081081081,5.462585034013605,6.3951219512195125,19.727272727272727,6.705882352941177,8.0,19.717687074829932,0,0,989,513,489,973,376,149,962,336,44,952,273,7,18.695652173913043,11.144249512670566,6.7280163599182,18.89311408016444,12.84308510638298,8.395973154362416,19.017671517671516,13.419642857142858,9.340909090909092,19.122899159663866,14.43956043956044,11.142857142857142,0,0,0,0,0,0,0,0,0,4,38,58,0,0,0,6,33,68,420,0,0,0.0,0.009216589861751152,0.05683563748079877,0.16282642089093702,0.7342549923195084,0.0,0.0,0.0,0.0,0.04,0.38,0.58,0.0,0.0,0.0,0.010889292196007259,0.05989110707803993,0.12341197822141561,0.7622504537205081,0.0,0.0,2,4,6
79,42,37,75,39,36,1,0,0,0,0,0,0,8.288135593220339,7.0,3.108108108108108,0,0,0,10.0,0,0,7.666666666666667,6.0,4.0,8.166666666666666,6.0,3.6666666666666665,7.340659340659341,5.476190476190476,4.333333333333333,0,0,0,10,0,0,11,6,4,15,6,5,18,11,9,4.0,5.0,5.0,6.5,3.75,0,4.3999999999999995,0,0,0,0,0,7.88,5.0,5.0,12.0,6.5,0,11.2,0,0,0,0,0,49,40,6,35,13,0,27,12,0,23,11,0,9.571428571428571,7.275,6.166666666666667,11.028571428571428,10.23076923076923,0,11.925925925925926,10.416666666666666,0,12.434782608695652,10.545454545454545,0,0,0,0,0,0,0,0,0,13,0,26,0,0,0,0,4,23,3,0,0,0,0.0,0.22666666666666666,0.30666666666666664,0.38666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.1111111111111111,0.6388888888888888,0.08333333333333333,0.0,0.0,0.0,3,4,1
340,86,254,312,86,226,2,19,1,18,0,0,0,10.203125,4.569767441860465,3.940944881889764,0,0,0,3.0,0,3.0,2.3333333333333335,0,3.0,8.2,5.0,3.6666666666666665,9.545454545454545,6.2,4.848484848484849,0,0,0,3,0,3,3,0,3,18,5,6,25,15,11,2.1586206896551725,0,4.222222222222222,3.8846153846153846,0,3.088235294117647,2.9375,0,2.7666666666666666,2.357142857142857,0,0,12.579310344827586,0,4.222222222222222,9.307692307692308,0,5.176470588235294,13.4375,0,6.3,19.428571428571427,0,0,201,37,86,179,11,1,156,1,0,149,1,0,12.099502487562189,6.027027027027027,5.965116279069767,12.849162011173185,8.181818181818182,8.0,13.564102564102564,10.0,0,13.778523489932885,10.0,0,0,0,0,0,0,0,0,0,82,4,0,0,0,0,0,0,217,9,0,0,0,0.0,0.26282051282051283,0.7083333333333334,0.028846153846153848,0.0,0.0,0.0,0.0,0.9534883720930233,0.046511627906976744,0.0,0.0,0.0,0.0,0.0,0.0,0.9601769911504425,0.03982300884955752,0.0,0.0,0.0,3,4,2
47,8,39,39,0,39,1,0,0,0,0,0,0,6.5813953488372094,4.75,2.2564102564102564,0,0,0,0,0,0,0,0,0,3.0,0,3.0,3.666666666666667,0,3.666666666666667,0,0,0,0,0,0,0,0,0,3,0,3,7,0,7,0,0,0,3.125,3.1875,0,4.857142857142857,0,0,0,0,0,0,0,0,5.25,5.375,0,12.571428571428571,0,0,0,0,0,21,7,3,21,0,0,17,0,0,17,0,0,11.333333333333334,5.428571428571429,5.333333333333333,11.333333333333334,0,0,12.117647058823529,0,0,12.117647058823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,19,0,0,0,0.0,0.0,0.3076923076923077,0.48717948717948717,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.3076923076923077,0.48717948717948717,0.0,0.0,0.0,6,8,1
97,32,65,38,0,38,16,0,0,0,3,0,3,11.092307692307692,5.75,3.230769230769231,0,0,0,0,0,0,5.0,0,5.0,3.6666666666666665,0,3.6666666666666665,4.127272727272728,0,4.127272727272728,0,0,0,0,0,0,5,0,5,5,0,5,9,0,9,0,6.666666666666667,3.0,5.1875,3.1666666666666665,3.24,4.253968253968255,3.3333333333333335,3.3333333333333335,4.625,0,0,0,6.666666666666667,3.0,9.375,5.333333333333333,5.48,10.761904761904763,8.0,8.0,15.5,0,0,63,22,24,56,9,3,51,3,1,49,2,0,11.428571428571429,7.136363636363637,5.791666666666667,12.232142857142858,8.88888888888889,8.333333333333334,12.647058823529411,10.666666666666666,9.0,12.795918367346939,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,22,4,0,0,0,0.02631578947368421,0.10526315789473684,0.5789473684210527,0.10526315789473684,0.0,0.0,0.0,0,0,0,0,0,0,0,0.02631578947368421,0.10526315789473684,0.5789473684210527,0.10526315789473684,0.0,0.0,0.0,4,4,4
1030,453,577,747,176,571,5,188,0,188,0,0,0,9.978651685393258,8.958057395143488,1.9376083188908146,0,0,0,2.0,0,0,12.333333333333334,0,2.0,9.666666666666668,2.0,2.3333333333333335,9.198830409356725,6.066666666666666,6.0,0,0,0,2,0,0,18,0,2,18,2,3,25,12,14,1.4311377245508983,4.377358490566038,2.0,4.063380281690141,3.5,0,3.783606557377048,0,0,4.0,0,0,15.179640718562874,4.377358490566038,2.0,7.253521126760563,6.0,0,12.577049180327869,0,0,13.0,0,0,670,418,24,627,347,3,582,335,3,546,278,0,12.701492537313433,9.516746411483254,5.5,13.157894736842104,10.239193083573488,9.0,13.556701030927835,10.319402985074626,9.0,13.857142857142858,10.589928057553957,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,3,5,0,182,282,0,0,0.004016064257028112,0.006693440428380187,0.0,0.47925033467202144,0.37751004016064255,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.005253940455341506,0.008756567425569177,0.0,0.318739054290718,0.4938704028021016,0.0,0.0,4,4,5
