total_LHeighth_notes,average_RLH_note_35_range,average_RH_note_10_range,total_LHhalf_notes,large_10jumps_RH,total_RH_raw_notes,large_8jumps_LH,RLH_note_35_range,RH_note_10_range,average_LRH_5chord_hand_range,large_5jumps_LH,average_RLH_note_100_range,average_LH_2chord_hand_range,average_LRH_3chord_range,total_RH_notes,total_LRHwhole_notes,average_LH_2chord_range,total_LRHquarter_notes,average_RHhalf_ntoes,AverageTimeBetweenAttacksFeature,average_LH_5chord_range,average_LH_5chord_hand_range,average_LRH64th_notes,average_large_5jumps_LH,total_LHwhole_notes,average_LH_note_35_range,total_RHquarter_notes,average_RLH_note_10_range,average_RLH_note_20_range,average_LH_note_20_range,LH_note_35_range,total_LHquarter_notes,RLH_note_10_range,RLH_note_20_range,average_large_8jumps_LRH,average_RH_3chord_range,total_LH32nd_notes,average_RH_range,average_LHeighth_notes,average_large_8jumps_RH,RLH_note_100_range,average_LHhalf_ntoes,average_LRH16th_notes,LH_note_50_range,total_LRH_sharp_keys_pressed,average_RH_note_50_range,LH_note_100_range,total_RHwhole_notes,large_5jumps_LRH,total_LRH16th_notes,total_RH_flat_keys_pressed,total_LH_notes,average_LH_3chord_range,total_LH64th_notes,average_LRH_2chord_hand_range,total_RH_sharp_keys_pressed,UniqueSetClassSimultaneities,total_RH64th_notes,average_LRHeighth_notes,total_LRHeighth_notes,average_LH_note_10_range,total_LH16th_notes,average_LH_4chord_hand_range,average_large_10jumps_RH,large_9jumps_RH,average_large_9jumps_LH,RH_note_100_range,average_RLH_range,average_large_10jumps_LH,MostCommonNoteQuarterLengthPrevalence,average_RHquarter_notes,total_LRH_notes,average_RH64th_notes,average_RLH_note_50_range,RelativeStrengthOfTopPitchClassesFeature,AverageTimeBetweenAttacksForEachVoiceFeature,LH_note_20_range,average_LRHquarter_notes,total_RH16th_notes,PitchVarietyFeature,total_LRH32nd_notes,total_LH_sharp_keys_pressed,average_LH32nd_notes,RH_note_50_range,average_RH_note_20_range,average_LHquarter_notes,average_large_5jumps_LRH,average_LRH_4chord_hand_range,average_RH_5chord_range,RH_note_35_range,average_LH_4chord_range,UniquePitchClassSetSimultaneities,RelativeStrengthOfTopPitchesFeature,total_LRH_raw_notes,average_RH_3chord_hand_range,MostCommonNoteQuarterLength,average_RH_4chord_range,large_10jumps_LRH,MostCommonSetClassSimultaneityPrevalence,average_LH_3chord_hand_range,total_LRHhalf_notes,average_LH_note_50_range,average_RH_2chord_range,average_RH_5chord_hand_range,ImportanceOfHighRegisterFeature,TriadSimultaneityPrevalence,average_LRH_2chord_range,RH_note_20_range,average_LHwhole_notes,average_large_10jumps_LRH,total_RHhalf_notes,Grade,large_8jumps_RH,large_9jumps_LH,average_LRH32nd_notes,LH_note_10_range,average_RHeighth_notes,total_LRH64th_notes,AverageNoteDurationFeature,total_LH_raw_notes,average_LH_range,average_LRHwhole_notes,average_LH_note_100_range,total_LH_flat_keys_pressed,average_LRHhalf_ntoes,music_key,average_LRH_5chord_range,large_5jumps_RH,average_LH64th_notes,average_large_9jumps_RH,average_RH_4chord_hand_range,average_large_9jumps_LRH,average_RH16th_notes,large_8jumps_LRH,RLH_note_50_range,average_RH_2chord_hand_range,average_RH_note_35_range,large_10jumps_LH,average_RH_note_100_range,total_RHeighth_notes,average_LH16th_notes,DirectionOfMotionFeature,average_LRH_4chord_range,large_9jumps_LRH,average_large_8jumps_LH,NoteDensityFeature,total_LRH_flat_keys_pressed,total_RH32nd_notes,average_LRH_3chord_hand_range,average_RHwhole_notes,average_large_5jumps_RH,average_RH32nd_notes
0,2,0,0,0,93,8,2,0,0,52,4,0,0,93,0,0,0,0,0.565217391304,0,0,0,6,0,0,36,0,0,0,0,0,0,0,9,0,0,2,0,8,11,0,0,0,0,2,0,0,82,0,12,65,3,0,0,0,10,0,0,0,0,0,0,0,0,10,11,7,10,0.544303797468,0,158,0,2,0.738461538462,0.587296195652,0,0,0,23,0,0,0,4,0,0,7,7,0,2,0,20,0.916666666667,93,0,1.0,0,16,0.602150537634,5,0,0,0,0,0.0486111111111,0.645161290323,0,0,0,11,5,2,2,1,0,0,0,0,0.675105485232,0,5,0,0,0,0,16,0,8,0,0,0,10,0,36,4,0,2,1,4,44,0,0.430769230769,2,28,8,4.51851851852,12,0,0,0,6,0
111,4,0,26,7,340,12,8,0,0,37,7,5,3,361,0,5,0,0,0.283422459893,0,0,0,6,4,2,30,4,5,2,4,33,4,8,11,0,0,3,0,9,23,0,0,7,22,2,15,0,338,0,75,189,0,0,9,15,14,0,0,0,0,0,0,10,8,9,15,8,10,0.783882783883,0,550,0,4,0.978723404255,0.426955691367,2,0,0,37,0,7,0,5,4,0,9,3,0,4,0,81,0.895833333333,518,0,0.5,0,179,0.254278728606,0,0,3,4,0,0.11937716263,0.0268948655257,3,4,0,12,7,6,18,5,0,0,0,0,0.421531956416,178,3,0,5,41,0,19,0,85,0,10,0,11,0,249,10,4,2,1,5,303,0,0.493177387914,5,215,8,6.66101694915,116,0,8,0,6,0
114,4,0,32,0,534,18,8,0,9,212,6,3,3,605,0,3,0,0,0.375237158316,0,0,0,5,0,5,71,0,4,0,5,32,0,4,9,3,0,2,0,8,19,0,0,8,74,2,13,5,546,0,73,505,3,0,8,64,29,0,0,0,0,2,0,0,0,0,12,6,0,0.527239150508,0,1110,0,3,0.675496688742,0.4555723522,0,0,53,31,0,10,0,5,4,0,7,5,0,5,0,90,0.608187134503,716,6,0.5,0,108,0.232,6,0,4,5,0,0.00992063492063,0.226666666667,4,4,0,11,29,1,1,0,0,0,0,0,0.512585812357,182,4,0,4,27,0,4,3,88,0,0,0,10,0,283,8,5,3,0,4,346,0,0.481212121212,2,201,8,5.81272084806,100,0,6,0,5,0
80,6,0,0,0,293,14,14,0,0,67,9,2,1,294,0,2,0,0,0.144772117962,0,0,0,6,0,5,0,5,7,4,11,0,5,12,13,3,0,3,0,8,29,0,0,11,10,3,22,0,336,0,43,301,0,0,10,5,9,0,0,0,0,219,0,0,0,9,19,10,0,0.712605042017,0,595,0,6,0.948979591837,0.173208592046,6,0,204,37,0,5,0,8,2,0,11,10,0,6,0,49,0.973684210526,593,6,0.25,0,203,0.308310991957,0,0,5,0,0,0.245819397993,0.00268096514745,3,2,0,14,0,5,7,2,0,0,0,0,0.185454545455,300,3,0,7,40,0,16,0,82,0,0,0,13,0,241,17,0,3,0,6,88,0,0.433164128596,2,217,8,12.6607142857,83,0,12,0,6,0
0,8,0,0,1,51,0,14,0,0,16,7,3,3,51,0,3,0,0,0.461538461538,0,0,0,5,0,4,15,0,8,6,6,45,0,13,11,0,0,2,0,10,20,0,0,6,16,2,9,0,54,0,1,47,0,0,9,8,7,0,0,0,0,0,0,10,1,0,13,8,0,0.632653061224,0,98,0,6,0.882352941176,0.528273809524,6,0,0,29,0,8,0,4,2,1,10,0,0,4,0,35,0.888888888889,96,0,1.0,0,30,0.222222222222,0,0,3,0,0,0.14,0.0,3,2,0,12,7,4,1,0,0,0,0,0,0.577358490566,45,4,0,3,4,0,2,0,5,0,10,0,11,0,43,14,0,2,0,4,27,0,0.505617977528,0,34,0,5.1935483871,5,0,7,0,7,0
0,3,0,0,0,83,5,5,0,0,43,9,0,5,83,0,0,0,0,0.198,0,0,0,6,0,0,1,0,2,0,0,0,0,2,13,0,0,2,0,8,32,0,0,0,10,3,8,0,17,0,1,45,3,0,15,10,11,0,0,0,0,0,0,0,1,11,18,3,13,0.46875,0,128,0,3,0.85,0.314551158301,0,0,60,32,0,0,0,5,2,0,9,3,0,5,0,27,0.72,85,0,0.25,0,6,0.58064516129,5,0,0,0,0,0.154205607477,0.145161290323,1,2,0,14,0,6,2,5,0,0,0,0,0.31875,2,6,0,8,0,0,30,0,5,0,9,0,14,0,8,5,0,3,3,6,1,0,0.290322580645,3,7,11,8.07692307692,1,0,3,0,6,0
48,7,0,0,1,250,17,13,0,0,33,9,0,1,251,0,0,0,0,0.193443804035,0,0,0,6,0,2,4,13,8,2,4,4,13,13,12,0,0,2,0,8,27,0,0,5,161,2,20,0,282,0,0,252,0,0,11,81,9,0,0,0,0,197,0,10,1,0,16,9,0,0.777327935223,0,503,0,7,0.908045977011,0.21614490161,2,0,187,34,0,80,0,4,2,0,11,0,0,3,0,44,0.974358974359,502,0,0.25,0,197,0.275071633238,0,0,2,2,0,0.246464646465,0.0,2,2,0,13,0,4,11,0,0,0,0,0,0.259615384615,252,2,0,7,0,0,4,0,32,0,10,0,13,0,233,14,2,2,0,5,47,0,0.474789915966,0,217,8,9.61764705882,0,0,10,0,6,0
1,0,0,2,0,18,9,0,0,6,33,7,5,3,90,0,5,0,0,0.786516853933,0,0,0,6,0,0,0,0,0,0,0,2,0,0,10,3,0,3,0,8,16,0,0,0,3,0,4,0,74,0,0,56,0,0,11,2,15,0,0,0,0,0,0,0,0,9,8,6,0,0.404109589041,0,146,0,8,0.505747126437,0.694982564897,0,0,12,23,0,1,0,0,0,0,6,5,0,0,0,25,0.58,24,6,0.5,0,9,0.388888888889,0,0,0,3,0,0.0383275261324,0.388888888889,1,0,0,12,1,6,2,1,0,0,0,0,0.96644295302,6,4,0,2,0,0,6,3,36,0,0,0,11,0,17,8,3,0,0,3,2,0,0.411764705882,3,12,8,4.01369863014,0,0,8,0,5,0
10,4,0,0,5,283,8,8,0,7,45,7,3,2,283,0,3,0,0,0.354639175258,0,0,0,6,0,2,2,0,2,0,2,0,0,2,12,0,0,3,1,9,22,0,0,3,47,4,8,0,262,0,0,74,3,0,9,43,11,0,0,0,0,0,6,11,7,10,17,9,11,0.535816618911,0,357,0,4,0.615384615385,0.672266256875,0,0,94,32,0,4,0,10,2,0,10,10,0,8,2,27,0.85,293,0,0.5,0,160,0.667808219178,5,0,2,0,0,0.336933045356,0.695205479452,4,2,0,13,0,5,12,6,0,0,0,0,0.618911174785,10,5,0,3,0,0,30,2,23,0,10,0,13,0,197,10,0,4,4,6,177,0,0.45987654321,2,164,10,5.18348623853,0,0,19,0,7,0
1477,4,3,0,13,2503,546,11,3,0,828,12,6,3,2503,0,6,0,0,0.159868330187,0,0,0,7,0,8,482,4,4,8,16,177,4,8,15,0,0,2,0,8,38,0,0,16,1673,4,33,0,2035,0,0,2448,3,0,13,934,12,0,0,0,12,0,8,11,15,12,22,9,13,0.679746240602,0,4951,0,5,0.934445768772,0.315957935805,15,0,0,62,0,739,0,9,2,0,14,8,0,7,3,78,0.991666666667,4267,0,0.5,0,1441,0.456625357483,5,0,7,0,0,0.290751689189,0.0127105179536,2,4,0,16,0,8,56,128,0,12,0,0,0.205135773318,1764,4,0,10,0,0,6,0,141,0,11,0,16,0,1770,15,0,3,112,7,1843,0,0.503255561584,2,1600,9,11.615694165,0,0,12,0,6,0
