total_LRH_notes,total_LH_notes,total_RH_notes,total_LRH_raw_notes,total_LH_raw_notes,total_RH_raw_notes,music_key,total_LRH_sharp_keys_pressed,total_LH_sharp_keys_pressed,total_RH_sharp_keys_pressed,total_LRH_flat_keys_pressed,total_LH_flat_keys_pressed,total_RH_flat_keys_pressed,average_RLH_range,average_LH_range,average_RH_range,average_RLH_note_10_range,average_LH_note_10_range,average_RH_note_10_range,average_RLH_note_20_range,average_LH_note_20_range,average_RH_note_20_range,average_RLH_note_35_range,average_LH_note_35_range,average_RH_note_35_range,average_RLH_note_50_range,average_LH_note_50_range,average_RH_note_50_range,average_RLH_note_100_range,average_LH_note_100_range,average_RH_note_100_range,RLH_note_10_range,LH_note_10_range,RH_note_10_range,RLH_note_20_range,LH_note_20_range,RH_note_20_range,RLH_note_35_range,LH_note_35_range,RH_note_35_range,RLH_note_50_range,LH_note_50_range,RH_note_50_range,RLH_note_100_range,LH_note_100_range,RH_note_100_range,average_LRH_2chord_range,average_LH_2chord_range,average_RH_2chord_range,average_LRH_3chord_range,average_LH_3chord_range,average_RH_3chord_range,average_LRH_4chord_range,average_LH_4chord_range,average_RH_4chord_range,average_LRH_5chord_range,average_LH_5chord_range,average_RH_5chord_range,average_LRH_2chord_hand_range,average_LH_2chord_hand_range,average_RH_2chord_hand_range,average_LRH_3chord_hand_range,average_LH_3chord_hand_range,average_RH_3chord_hand_range,average_LRH_4chord_hand_range,average_LH_4chord_hand_range,average_RH_4chord_hand_range,average_LRH_5chord_hand_range,average_LH_5chord_hand_range,average_RH_5chord_hand_range,large_5jumps_LRH,large_5jumps_LH,large_5jumps_RH,large_8jumps_LRH,large_8jumps_LH,large_8jumps_RH,large_9jumps_LRH,large_9jumps_LH,large_9jumps_RH,large_10jumps_LRH,large_10jumps_LH,large_10jumps_RH,average_large_5jumps_LRH,average_large_5jumps_LH,average_large_5jumps_RH,average_large_8jumps_LRH,average_large_8jumps_LH,average_large_8jumps_RH,average_large_9jumps_LRH,average_large_9jumps_LH,average_large_9jumps_RH,average_large_10jumps_LRH,average_large_10jumps_LH,average_large_10jumps_RH,total_LRHwhole_notes,total_LRHhalf_notes,total_LRHquarter_notes,total_LRHeighth_notes,total_LRH16th_notes,total_LRH32nd_notes,total_LRH64th_notes,total_LHwhole_notes,total_LHhalf_notes,total_LHquarter_notes,total_LHeighth_notes,total_LH16th_notes,total_LH32nd_notes,total_LH64th_notes,total_RHwhole_notes,total_RHhalf_notes,total_RHquarter_notes,total_RHeighth_notes,total_RH16th_notes,total_RH32nd_notes,total_RH64th_notes,average_LRHwhole_notes,average_LRHhalf_ntoes,average_LRHquarter_notes,average_LRHeighth_notes,average_LRH16th_notes,average_LRH32nd_notes,average_LRH64th_notes,average_LHwhole_notes,average_LHhalf_ntoes,average_LHquarter_notes,average_LHeighth_notes,average_LH16th_notes,average_LH32nd_notes,average_LH64th_notes,average_RHwhole_notes,average_RHhalf_ntoes,average_RHquarter_notes,average_RHeighth_notes,average_RH16th_notes,average_RH32nd_notes,average_RH64th_notes,Right Hand Similarity,Advanced Rhythmic Similarity R,total2ChordNotesRight,total3ChordNotesRight,total4ChordNotesRight,total5ChordNotesRight,average2ChordNotesRight,average3ChordNotesRight,average4ChordNotesRight,average5ChordNotesRight,Left Hand Similarity,Both Hand Similarity,Left Right Hand Similarity,Rhythmic Similarity LR 1:1,Advanced Rhythmic Similarity L,Advanced Rhythmic Similarity LR,total2ChordNotesLeft,total3ChordNotesLeft,total4ChordNotesLeft,total5ChordNotesLeft,average2ChordNotesLeft,average3ChordNotesLeft,average4ChordNotesLeft,average5ChordNotesLeft,MostCommonNoteQuarterLength,MostCommonNoteQuarterLengthPrevalence,MostCommonSetClassSimultaneityPrevalence,TriadSimultaneityPrevalence,UniquePitchClassSetSimultaneities,UniqueSetClassSimultaneities,AverageNoteDurationFeature,AverageTimeBetweenAttacksFeature,AverageTimeBetweenAttacksForEachVoiceFeature,DirectionOfMotionFeature,ImportanceOfHighRegisterFeature,NoteDensityFeature,PitchVarietyFeature,RelativeStrengthOfTopPitchClassesFeature,RelativeStrengthOfTopPitchesFeature,Grade
302,117,185,289,108,181,6,97,29,68,0,0,0,13.267676767676768,4.273504273504273,2.572972972972973,0,0,0,2.0,0,2.0,7.666666666666667,2.0,2.3333333333333335,6.333333333333333,3.6666666666666665,2.666666666666667,9.747692307692308,5.589743589743589,4.6923076923076925,0,0,0,2,0,2,14,2,3,15,5,4,25,14,11,1.536144578313253,4.636363636363637,3.0,3.6904761904761907,0,0,0,0,0,0,0,0,13.75301204819277,4.636363636363637,3.0,13.904761904761905,0,0,0,0,0,0,0,0,189,51,15,188,13,1,184,0,0,170,0,0,13.80952380952381,6.490196078431373,5.6,13.845744680851064,8.0,8.0,13.972826086956522,0,0,14.382352941176471,0,0,0,0,0,0,0,0,0,0,0,7,73,28,0,0,0,0,4,38,128,2,0,0.0,0.0,0.03806228373702422,0.38408304498269896,0.5397923875432526,0.006920415224913495,0.0,0.0,0.0,0.06481481481481481,0.6759259259259259,0.25925925925925924,0.0,0.0,0.0,0.0,0.022099447513812154,0.20994475138121546,0.7071823204419889,0.011049723756906077,0.0,0.46620754716981094,0.2265625,4,0,0,0,0.021621621621621623,0.0,0.0,0.0,0.46483203081595637,0.24012984161578868,0.0,0.34810126582278483,0.234375,0.0908203125,11,0,0,0,0.09401709401709402,0.0,0.0,0.0,0.25,0.5148514851485149,0.24120603015075376,0.010050251256281407,42,12,0.23267326732673183,0.18578680203045683,0.22876686656671663,0.4119718309859155,0.3249211356466877,8.015873015873016,28,0.8888888888888888,0.9696969696969697,4
1139,529,610,1139,529,610,20,0,0,0,493,233,260,10.53225806451613,3.0793950850661624,2.5131147540983605,2.0,0,0,7.666666666666667,2.0,2.0,6.8,3.0,4.166666666666667,7.91111111111111,5.4,4.866666666666666,11.117171717171717,8.01058201058201,7.75369458128079,2,0,0,11,2,2,12,4,7,18,10,10,32,22,22,3.128410914927769,0,0,0,0,0,0,0,0,0,0,0,11.897271268057786,0,0,0,0,0,0,0,0,0,0,0,605,134,58,483,60,25,425,35,9,412,22,9,12.446280991735538,7.2835820895522385,7.379310344827586,14.107660455486542,9.233333333333333,9.6,14.941176470588236,10.114285714285714,12.444444444444445,15.12864077669903,10.772727272727273,12.444444444444445,0,0,0,0,0,0,0,0,93,16,412,0,0,0,0,37,124,445,0,0,0,0.0,0.1141352063213345,0.12291483757682177,0.752414398595259,0.0,0.0,0.0,0.0,0.17580340264650285,0.030245746691871456,0.77882797731569,0.0,0.0,0.0,0.0,0.060655737704918035,0.20327868852459016,0.7295081967213115,0.0,0.0,0.0,0.2707863196429454,0.24214910453977434,0,0,0,0,0.0,0.0,0.0,0.0,0.2596440024501844,0.15078903664135038,0.03485062281693396,0.05555555555555555,0.26087463556851365,0.19795085381091165,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.752414398595259,0.41801075268817206,0.0,51,7,0.3715978928884987,0.32806191117092864,0.43094701634572324,0.444121915820029,0.35294117647058826,4.648979591836735,45,0.914572864321608,0.975609756097561,8
2573,1198,1375,2117,1189,928,6,626,328,298,0,0,0,13.39707750952986,4.147746243739566,4.070545454545455,2.0,0,4.0,5.666666666666667,7.0,5.666666666666667,6.142857142857143,6.333333333333333,6.4,10.163636363636364,6.599999999999999,6.5,12.9937343358396,6.966153846153845,10.523809523809526,2,0,4,8,7,8,12,11,12,26,12,15,40,19,33,2.9331872946330777,3.3333333333333335,5.609418282548477,4.341491841491841,3.375,4.2407407407407405,3.7407407407407436,3.3333333333333335,3.3333333333333357,2.9136363636363636,2.75,0,12.57064622124863,3.3333333333333335,5.609418282548477,18.186480186480185,5.75,7.481481481481482,11.222222222222221,8.0,8.0,19.072727272727274,8.0,0,1400,520,479,1262,239,285,1154,175,77,1097,159,41,14.802857142857142,7.869230769230769,7.645093945720251,15.757527733755943,9.9581589958159,8.887719298245614,16.48353552859619,10.674285714285714,11.285714285714286,16.872379216043754,10.842767295597485,13.292682926829269,0,0,0,0,0,0,0,0,0,518,635,0,0,0,0,0,171,616,81,0,0,0.0,0.0,0.3254605573925366,0.5909305621162022,0.038261691072272085,0.0,0.0,0.0,0.0,0.43566021867115223,0.5340622371740958,0.0,0.0,0.0,0.0,0.0,0.18426724137931033,0.6637931034482759,0.08728448275862069,0.0,0.0,0.1727482582053241,0.16296043089032786,361,27,59,0,0.2625454545454545,0.019636363636363636,0.04290909090909091,0.0,0.20663954787915714,0.11111341493303041,0.03459298746327731,0.033662641785583605,0.4722886891288865,0.15881228000480346,3,4,1,1,0.0025041736227045075,0.00333889816360601,0.0008347245409015025,0.0008347245409015025,1.0,0.5478048780487805,0.4554326610279766,0.03773584905660377,108,23,0.8947560975609756,0.7445117335352006,0.702478301828515,0.5136986301369864,0.4125506072874494,2.080162354134957,60,0.7740112994350282,0.9878787878787879,8
723,293,430,356,113,243,17,19,3,16,55,10,45,13.30214424951267,5.402730375426621,2.8883720930232557,3.0,0,0,3.6666666666666665,0,3.0,7.8,9.0,3.6666666666666665,6.821428571428571,6.166666666666667,4.4,11.033033033033036,5.705882352941177,5.936842105263158,3,0,0,5,0,3,16,9,5,18,11,8,31,16,15,2.3216783216783217,3.1222222222222222,2.2432432432432434,2.936974789915966,0,2.0,2.8617886178861807,0,0,0,0,0,14.762237762237762,3.1222222222222222,2.2432432432432434,13.054621848739496,0,3.0,12.455284552845528,0,0,0,0,0,477,104,54,412,90,5,382,88,0,368,78,0,14.083857442348009,10.576923076923077,6.074074074074074,15.339805825242719,11.377777777777778,8.0,15.916230366492147,11.454545454545455,0,16.179347826086957,11.76923076923077,0,0,0,0,0,0,0,0,0,0,0,107,6,0,0,0,1,4,26,199,0,0,0.0,0.0028089887640449437,0.011235955056179775,0.37359550561797755,0.5758426966292135,0.0,0.0,0.0,0.0,0.0,0.9469026548672567,0.05309734513274336,0.0,0.0,0.0,0.00411522633744856,0.01646090534979424,0.10699588477366255,0.8189300411522634,0.0,0.0,0.3205112721417074,0.12536443148688045,185,2,0,0,0.43023255813953487,0.004651162790697674,0.0,0.0,0.30780512971698115,0.1878375888706589,0.04862620772946861,0.0,0.847563515201999,0.0,180,0,0,0,0.6143344709897611,0.0,0.0,0.0,0.25,0.5169014084507042,0.1267056530214425,0.14814814814814814,138,34,0.5796654929577465,0.4258349705304519,0.3671051765015806,0.4889267461669506,0.287569573283859,3.264367816091954,42,0.8571428571428571,0.9873417721518988,8
153,58,95,120,58,62,8,52,19,33,0,0,0,8.27027027027027,2.8448275862068964,5.031578947368421,0,0,0,0,0,0,15.0,0,3.0,8.166666666666668,2.0,2.3333333333333335,8.246153846153847,7.491666666666665,4.961904761904762,0,0,0,0,0,0,15,0,3,15,2,3,24,21,12,4.15,0,4.05,5.295454545454546,0,3.5208333333333335,4.597222222222222,0,3.166666666666667,4.0,0,2.375,4.6,0,4.05,10.681818181818182,0,6.041666666666667,11.791666666666666,0,7.5,13.0,0,6.5,75,9,48,63,5,25,61,2,2,54,2,2,11.266666666666667,7.888888888888889,7.125,12.285714285714286,9.4,8.16,12.426229508196721,11.5,10.0,12.87037037037037,11.5,10.0,0,0,0,0,0,0,0,0,11,42,4,0,0,0,0,7,25,28,1,0,0,0.0,0.15,0.5583333333333333,0.26666666666666666,0.008333333333333333,0.0,0.0,0.0,0.1896551724137931,0.7241379310344828,0.06896551724137931,0.0,0.0,0.0,0.0,0.11290322580645161,0.4032258064516129,0.45161290322580644,0.016129032258064516,0.0,0.0,0.47691645133505606,0.14880000000000002,20,24,2,2,0.21052631578947367,0.25263157894736843,0.021052631578947368,0.021052631578947368,0.6273504273504273,0.3267133192197792,0.09843068215161241,0.6445497630331753,0.14880000000000002,0.036800000000000006,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.5796178343949044,0.3761467889908257,0.06422018348623854,36,17,1.10828025477707,0.8796296296296297,0.9481225296442688,0.4909090909090909,0.06046511627906977,1.5858585858585859,28,0.46153846153846156,0.875,5
109,37,72,79,15,64,3,29,3,26,0,0,0,8.881578947368421,4.27027027027027,2.625,0,0,0,0,0,0,2.0,2.0,2.0,2.666666666666667,2.0,2.3333333333333335,5.8,3.9523809523809526,4.2,0,0,0,0,0,0,2,2,2,4,2,3,14,8,9,5.142857142857143,0,4.625,4.888888888888889,3.0681818181818183,0,3.986666666666667,0,0,3.75,0,0,5.785714285714286,0,4.625,8.777777777777779,5.136363636363637,0,9.96,0,0,12.0,0,0,71,19,5,55,2,2,42,0,2,35,0,2,9.309859154929578,5.842105263157895,7.2,10.218181818181819,8.0,10.0,10.904761904761905,0,10.0,11.285714285714286,0,10.0,0,0,0,0,0,0,0,0,0,3,4,1,0,0,0,0,10,26,14,0,0,0.0,0.0,0.16455696202531644,0.379746835443038,0.189873417721519,0.0,0.0,0.0,0.0,0.2,0.26666666666666666,0.06666666666666667,0.0,0.0,0.0,0.0,0.15625,0.40625,0.21875,0.0,0.0,0.6781250000000001,0.28719723183391,8,0,0,0,0.1111111111111111,0.0,0.0,0.0,0.7448979591836735,0.4192996567996568,0.07027371759514617,0.25,0.536332179930796,0.10380622837370243,0,22,0,0,0.0,0.5945945945945946,0.0,0.0,1.5,0.3211009174311927,0.4868421052631579,0.5131578947368421,31,15,0.6639908256880734,0.47,0.571156103286385,0.4673913043478261,0.049689440993788817,2.849673202614379,18,0.9333333333333333,0.9444444444444444,4
434,216,218,434,216,218,30,39,20,19,5,2,3,9.170818505338078,2.3518518518518516,2.463302752293578,8.0,0,0,7.666666666666667,4.0,2.0,6.6,3.0,2.3333333333333335,6.214285714285714,3.1666666666666665,3.0,8.566666666666668,5.696969696969696,5.727272727272727,8,0,0,11,4,2,11,4,3,12,5,5,23,15,14,3.692857142857143,0,0,0,0,0,0,0,0,0,0,0,9.228571428571428,0,0,0,0,0,0,0,0,0,0,0,258,12,24,188,5,2,162,0,0,130,0,0,9.689922480620154,6.333333333333333,6.041666666666667,11.02659574468085,8.0,8.0,11.512345679012345,0,0,12.13076923076923,0,0,0,0,0,0,0,0,0,0,1,48,160,0,0,0,0,6,40,169,0,0,0,0.0,0.016129032258064516,0.20276497695852536,0.7580645161290323,0.0,0.0,0.0,0.0,0.004629629629629629,0.2222222222222222,0.7407407407407407,0.0,0.0,0.0,0.0,0.027522935779816515,0.1834862385321101,0.7752293577981652,0.0,0.0,0.0,0.40148148148148133,0.2299382716049383,0,0,0,0,0.0,0.0,0.0,0.0,0.39398148148148115,0.22543402777777777,0.05311342592592591,0.04597701149425287,0.23919753086419757,0.2183641975308642,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.7580645161290323,0.2526690391459075,0.0,46,7,0.21601382488479332,0.16653726708074534,0.272219763015288,0.44522144522144524,0.0069124423963133645,9.242592592592592,36,0.9054054054054054,0.9166666666666666,5
595,301,294,593,300,293,16,10,5,5,83,40,43,10.369973190348526,3.2857142857142856,3.3979591836734695,5.0,0,0,7.166666666666667,4.333333333333333,2.0,6.428571428571429,6.0,3.833333333333334,7.288888888888889,5.380952380952381,4.2,10.072072072072075,7.550769230769232,7.282608695652175,5,0,0,12,6,2,14,11,6,17,11,8,29,22,19,3.1274238227146816,2.0,0,1.5,0,3.5,2.6666666666666665,0,0,0,0,0,10.57617728531856,2.0,0,13.0,0,6.0,15.0,0,0,0,0,0,338,67,82,243,14,7,219,2,0,205,0,0,11.13905325443787,6.223880597014926,6.121951219512195,13.168724279835391,8.142857142857142,8.0,13.735159817351597,9.0,0,14.058536585365854,0,0,0,0,0,0,0,0,0,0,0,0,80,219,0,0,0,0,0,88,204,0,0,0.0,0.0,0.0,0.28330522765598654,0.7133220910623946,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.73,0.0,0.0,0.0,0.0,0.0,0.3003412969283277,0.6962457337883959,0.0,0.0,0.2815393518518517,0.2508650519031141,0,1,0,0,0.0,0.003401360544217687,0.0,0.0,0.2635310211635952,0.16916751889737539,0.06806917211328974,0.07,0.25086505190311403,0.24567474048442892,1,0,0,0,0.0033222591362126247,0.0,0.0,0.0,0.25,0.7126050420168067,0.30831099195710454,0.002680965147453083,49,9,0.18242933537051204,0.1444281524926686,0.1712680990795325,0.43316412859560066,0.24581939799331104,10.694444444444446,37,0.9489795918367347,0.9736842105263158,5
1091,371,720,1072,356,716,1,101,27,74,71,20,51,6.56949806949807,3.347708894878706,3.863888888888889,0,0,0,3.0,6.0,3.0,5.0,5.166666666666667,3.1666666666666665,5.7857142857142865,5.133333333333334,4.238095238095238,12.301886792452832,10.791025641025639,9.469230769230771,0,0,0,3,6,3,10,8,5,13,9,9,39,33,32,3.887272727272727,5.181818181818182,4.0,5.264516129032258,0,4.5,3.5555555555555554,0,0,0,0,0,6.467272727272727,5.181818181818182,4.0,12.503225806451614,0,8.0,8.666666666666666,0,0,0,0,0,569,67,213,332,18,34,287,14,13,237,13,6,9.878734622144112,7.82089552238806,6.07981220657277,12.80722891566265,14.222222222222221,8.588235294117647,13.560975609756097,16.0,9.538461538461538,14.523206751054852,16.53846153846154,10.166666666666666,0,0,0,0,0,0,0,10,15,104,3,180,0,0,2,0,2,74,638,0,0,0.011194029850746268,0.013992537313432836,0.09888059701492537,0.07182835820895522,0.7630597014925373,0.0,0.0,0.028089887640449437,0.042134831460674156,0.29213483146067415,0.008426966292134831,0.5056179775280899,0.0,0.0,0.002793296089385475,0.0,0.002793296089385475,0.10335195530726257,0.8910614525139665,0.0,0.0,0.21295000000000028,0.1218836565096952,6,2,0,0,0.008333333333333333,0.002777777777777778,0.0,0.0,0.2748331483893797,0.19131693221522886,0.14615946037222657,0.011067193675889328,0.15824099722991705,0.03514542936288089,33,0,0,0,0.0889487870619946,0.0,0.0,0.0,0.25,0.7479376718606783,0.4061597690086622,0.0356111645813282,78,12,0.22500109117891115,0.13829345871940257,0.3051568928635202,0.498019801980198,0.10412926391382406,7.611627906976744,54,0.9245283018867925,0.8524590163934426,7
246,75,171,216,45,171,4,66,13,53,0,0,0,10.491620111731844,3.7066666666666666,2.3625730994152048,0,0,0,3.0,0,0,2.3333333333333335,4.0,3.0,3.0,3.0,2.3333333333333335,8.932307692307692,4.6923076923076925,5.0256410256410255,0,0,0,3,0,0,3,4,3,5,4,3,23,11,12,1.5324675324675325,3.7666666666666666,0,2.372093023255814,0,0,0,0,0,0,0,0,12.662337662337663,3.7666666666666666,0,14.883720930232558,0,0,0,0,0,0,0,0,132,27,10,131,4,5,127,1,1,117,1,1,13.545454545454545,5.962962962962963,6.9,13.603053435114504,8.5,8.4,13.779527559055119,10.0,10.0,14.188034188034187,10.0,10.0,0,0,0,0,0,0,0,0,0,42,2,0,0,0,0,2,41,128,0,0,0,0.0,0.009259259259259259,0.38425925925925924,0.6018518518518519,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.044444444444444446,0.0,0.0,0.0,0.0,0.011695906432748537,0.23976608187134502,0.7485380116959064,0.0,0.0,0.0,0.4772796188000864,0.21759809750297265,0,0,0,0,0.0,0.0,0.0,0.0,0.55,0.2808263261704555,0.0,0.0975609756097561,0.2223543400713437,0.01545778834720571,30,0,0,0,0.4,0.0,0.0,0.0,0.5,0.5284552845528455,0.3463687150837989,0.1005586592178771,43,15,0.4585365853658519,0.3728813559322034,0.5657392686804451,0.4252336448598131,0.5217391304347826,3.596491228070175,28,0.9574468085106383,0.8235294117647058,4
