total_LRH_notes,total_LH_notes,total_RH_notes,total_LRH_raw_notes,total_LH_raw_notes,total_RH_raw_notes,music_key,total_LRH_sharp_keys_pressed,total_LH_sharp_keys_pressed,total_RH_sharp_keys_pressed,total_LRH_flat_keys_pressed,total_LH_flat_keys_pressed,total_RH_flat_keys_pressed,average_RLH_range,average_LH_range,average_RH_range,average_RLH_note_10_range,average_LH_note_10_range,average_RH_note_10_range,average_RLH_note_20_range,average_LH_note_20_range,average_RH_note_20_range,average_RLH_note_35_range,average_LH_note_35_range,average_RH_note_35_range,average_RLH_note_50_range,average_LH_note_50_range,average_RH_note_50_range,average_RLH_note_100_range,average_LH_note_100_range,average_RH_note_100_range,RLH_note_10_range,LH_note_10_range,RH_note_10_range,RLH_note_20_range,LH_note_20_range,RH_note_20_range,RLH_note_35_range,LH_note_35_range,RH_note_35_range,RLH_note_50_range,LH_note_50_range,RH_note_50_range,RLH_note_100_range,LH_note_100_range,RH_note_100_range,average_LRH_2chord_range,average_LH_2chord_range,average_RH_2chord_range,average_LRH_3chord_range,average_LH_3chord_range,average_RH_3chord_range,average_LRH_4chord_range,average_LH_4chord_range,average_RH_4chord_range,average_LRH_5chord_range,average_LH_5chord_range,average_RH_5chord_range,average_LRH_2chord_hand_range,average_LH_2chord_hand_range,average_RH_2chord_hand_range,average_LRH_3chord_hand_range,average_LH_3chord_hand_range,average_RH_3chord_hand_range,average_LRH_4chord_hand_range,average_LH_4chord_hand_range,average_RH_4chord_hand_range,average_LRH_5chord_hand_range,average_LH_5chord_hand_range,average_RH_5chord_hand_range,large_5jumps_LRH,large_5jumps_LH,large_5jumps_RH,large_8jumps_LRH,large_8jumps_LH,large_8jumps_RH,large_9jumps_LRH,large_9jumps_LH,large_9jumps_RH,large_10jumps_LRH,large_10jumps_LH,large_10jumps_RH,average_large_5jumps_LRH,average_large_5jumps_LH,average_large_5jumps_RH,average_large_8jumps_LRH,average_large_8jumps_LH,average_large_8jumps_RH,average_large_9jumps_LRH,average_large_9jumps_LH,average_large_9jumps_RH,average_large_10jumps_LRH,average_large_10jumps_LH,average_large_10jumps_RH,total_LRHwhole_notes,total_LRHhalf_notes,total_LRHquarter_notes,total_LRHeighth_notes,total_LRH16th_notes,total_LRH32nd_notes,total_LRH64th_notes,total_LHwhole_notes,total_LHhalf_notes,total_LHquarter_notes,total_LHeighth_notes,total_LH16th_notes,total_LH32nd_notes,total_LH64th_notes,total_RHwhole_notes,total_RHhalf_notes,total_RHquarter_notes,total_RHeighth_notes,total_RH16th_notes,total_RH32nd_notes,total_RH64th_notes,average_LRHwhole_notes,average_LRHhalf_ntoes,average_LRHquarter_notes,average_LRHeighth_notes,average_LRH16th_notes,average_LRH32nd_notes,average_LRH64th_notes,average_LHwhole_notes,average_LHhalf_ntoes,average_LHquarter_notes,average_LHeighth_notes,average_LH16th_notes,average_LH32nd_notes,average_LH64th_notes,average_RHwhole_notes,average_RHhalf_ntoes,average_RHquarter_notes,average_RHeighth_notes,average_RH16th_notes,average_RH32nd_notes,average_RH64th_notes,Right Hand Similarity,Advanced Rhythmic Similarity R,total2ChordNotesRight,total3ChordNotesRight,total4ChordNotesRight,total5ChordNotesRight,average2ChordNotesRight,average3ChordNotesRight,average4ChordNotesRight,average5ChordNotesRight,Left Hand Similarity,Both Hand Similarity,Left Right Hand Similarity,Rhythmic Similarity LR 1:1,Advanced Rhythmic Similarity L,Advanced Rhythmic Similarity LR,total2ChordNotesLeft,total3ChordNotesLeft,total4ChordNotesLeft,total5ChordNotesLeft,average2ChordNotesLeft,average3ChordNotesLeft,average4ChordNotesLeft,average5ChordNotesLeft,MostCommonNoteQuarterLength,MostCommonNoteQuarterLengthPrevalence,MostCommonSetClassSimultaneityPrevalence,TriadSimultaneityPrevalence,UniquePitchClassSetSimultaneities,UniqueSetClassSimultaneities,AverageNoteDurationFeature,AverageTimeBetweenAttacksFeature,AverageTimeBetweenAttacksForEachVoiceFeature,DirectionOfMotionFeature,ImportanceOfHighRegisterFeature,NoteDensityFeature,PitchVarietyFeature,RelativeStrengthOfTopPitchClassesFeature,RelativeStrengthOfTopPitchesFeature,Grade
748,289,459,531,289,242,16,47,24,23,28,14,14,12.027196652719665,6.3321799307958475,4.4183006535947715,10.0,0,7.0,7.0,10.0,5.0,8.523809523809524,7.666666666666667,4.333333333333333,9.327272727272726,6.866666666666666,4.199999999999999,10.370731707317074,6.486166007905139,7.139999999999999,10,0,7,11,10,7,19,14,7,22,14,8,34,19,21,4.1395348837209305,0,5.6381578947368425,4.921875,0,3.5737704918032787,3.521505376344085,0,3.3333333333333335,3.8125,0,0,10.404651162790698,0,5.6381578947368425,13.85625,0,6.147540983606557,15.241935483870968,0,8.0,17.25,0,0,433,158,195,407,131,59,358,101,41,312,95,22,12.981524249422632,9.873417721518987,7.2615384615384615,13.427518427518427,10.717557251908397,10.135593220338983,14.170391061452515,11.524752475247524,11.073170731707316,14.932692307692308,11.68421052631579,12.863636363636363,0,0,0,0,0,0,0,0,0,15,208,66,0,0,0,0,0,12,230,0,0,0.0,0.0,0.02824858757062147,0.4143126177024482,0.5574387947269304,0.0,0.0,0.0,0.0,0.05190311418685121,0.7197231833910035,0.22837370242214533,0.0,0.0,0.0,0.0,0.0,0.049586776859504134,0.9504132231404959,0.0,0.0,0.28906105263157844,0.21296296296296288,152,61,4,0,0.3311546840958606,0.1328976034858388,0.008714596949891068,0.0,0.3523092049319729,0.19293053077489553,0.06816291115988739,0.05235602094240838,0.43441358024691384,0.13773148148148157,0,0,0,0,0.0,0.0,0.0,0.0,0.25,0.5182072829131653,0.29979035639413,0.1069182389937107,91,26,0.24137780112044818,0.1877626050420168,0.229711518753843,0.5822021116138764,0.3450777202072539,7.933333333333334,45,0.84472049689441,0.759493670886076,7
1466,637,829,651,100,551,18,14,4,10,209,34,175,18.38293650793651,9.47723704866562,5.010856453558504,0,0,0,4.0,6.0,4.0,2.666666666666667,4.333333333333333,3.0,3.3333333333333335,3.6666666666666665,3.0,9.48095238095238,5.808333333333333,6.663043478260871,0,0,0,4,6,4,4,6,4,6,6,5,29,16,18,6.5588235294117645,8.0,5.29757785467128,4.97027027027027,3.2312925170068025,3.6975609756097563,4.728395061728399,2.9019607843137254,3.333333333333336,4.21343537414966,0,0,9.5,8.0,5.29757785467128,17.81081081081081,5.462585034013605,6.3951219512195125,19.727272727272727,6.705882352941177,8.0,19.717687074829932,0,0,989,513,489,973,376,149,962,336,44,952,273,7,18.695652173913043,11.144249512670566,6.7280163599182,18.89311408016444,12.84308510638298,8.395973154362416,19.017671517671516,13.419642857142858,9.340909090909092,19.122899159663866,14.43956043956044,11.142857142857142,0,0,0,0,0,0,0,0,0,4,38,58,0,0,0,6,33,68,420,0,0,0.0,0.009216589861751152,0.05683563748079877,0.16282642089093702,0.7342549923195084,0.0,0.0,0.0,0.0,0.04,0.38,0.58,0.0,0.0,0.0,0.010889292196007259,0.05989110707803993,0.12341197822141561,0.7622504537205081,0.0,0.0,0.3010987755102024,0.0920379839298758,289,205,67,0,0.3486127864897467,0.24728588661037396,0.08082026537997587,0.0,0.32379715522572616,0.16086882239526787,0.0036796536796536755,0.022388059701492536,0.52145726807889,0.024242147552958376,373,147,17,0,0.5855572998430141,0.23076923076923078,0.026687598116169546,0.0,0.5,0.4452753229095853,0.2543352601156069,0.28227360308285165,120,38,0.4211729806563317,0.26871925669520863,0.2950585011549539,0.49837662337662336,0.3421151674821227,5.466554054054053,57,0.7514677103718199,0.8895027624309392,6
79,42,37,75,39,36,1,0,0,0,0,0,0,8.288135593220339,7.0,3.108108108108108,0,0,0,10.0,0,0,7.666666666666667,6.0,4.0,8.166666666666666,6.0,3.6666666666666665,7.340659340659341,5.476190476190476,4.333333333333333,0,0,0,10,0,0,11,6,4,15,6,5,18,11,9,4.0,5.0,5.0,6.5,3.75,0,4.3999999999999995,0,0,0,0,0,7.88,5.0,5.0,12.0,6.5,0,11.2,0,0,0,0,0,49,40,6,35,13,0,27,12,0,23,11,0,9.571428571428571,7.275,6.166666666666667,11.028571428571428,10.23076923076923,0,11.925925925925926,10.416666666666666,0,12.434782608695652,10.545454545454545,0,0,0,0,0,0,0,0,0,13,0,26,0,0,0,0,4,23,3,0,0,0,0.0,0.22666666666666666,0.30666666666666664,0.38666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.1111111111111111,0.6388888888888888,0.08333333333333333,0.0,0.0,0.0,0.7448979591836735,0.3828125,1,0,0,0,0.02702702702702703,0.0,0.0,0.0,0.7407407407407407,0.4305101821090193,0.13162694018175747,0.20253164556962025,0.6953125,0.44140625,1,2,0,0,0.023809523809523808,0.047619047619047616,0.0,0.0,0.5,0.3670886075949367,0.22033898305084745,0.01694915254237288,22,12,0.775653110692163,0.49523110785033014,0.673326414115205,0.5526315789473685,0.12941176470588237,2.578472222222222,15,0.6666666666666666,0.9166666666666666,1
340,86,254,312,86,226,2,19,1,18,0,0,0,10.203125,4.569767441860465,3.940944881889764,0,0,0,3.0,0,3.0,2.3333333333333335,0,3.0,8.2,5.0,3.6666666666666665,9.545454545454545,6.2,4.848484848484849,0,0,0,3,0,3,3,0,3,18,5,6,25,15,11,2.1586206896551725,0,4.222222222222222,3.8846153846153846,0,3.088235294117647,2.9375,0,2.7666666666666666,2.357142857142857,0,0,12.579310344827586,0,4.222222222222222,9.307692307692308,0,5.176470588235294,13.4375,0,6.3,19.428571428571427,0,0,201,37,86,179,11,1,156,1,0,149,1,0,12.099502487562189,6.027027027027027,5.965116279069767,12.849162011173185,8.181818181818182,8.0,13.564102564102564,10.0,0,13.778523489932885,10.0,0,0,0,0,0,0,0,0,0,82,4,0,0,0,0,0,0,217,9,0,0,0,0.0,0.26282051282051283,0.7083333333333334,0.028846153846153848,0.0,0.0,0.0,0.0,0.9534883720930233,0.046511627906976744,0.0,0.0,0.0,0.0,0.0,0.0,0.9601769911504425,0.03982300884955752,0.0,0.0,0.0,0.4726607624181746,0.8017993079584764,9,17,10,0,0.03543307086614173,0.06692913385826772,0.03937007874015748,0.0,0.5958787878787879,0.303637030548649,0.014817777836645755,0.018433179723502304,0.9310726643598611,0.010657439446366782,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.7222222222222222,0.4280155642023346,0.05058365758754864,35,15,0.5000000000000026,0.39529411764705885,0.9387955182072829,0.5878594249201278,0.0,3.379446640316205,23,0.9259259259259259,0.9795918367346939,2
47,8,39,39,0,39,1,0,0,0,0,0,0,6.5813953488372094,4.75,2.2564102564102564,0,0,0,0,0,0,0,0,0,3.0,0,3.0,3.666666666666667,0,3.666666666666667,0,0,0,0,0,0,0,0,0,3,0,3,7,0,7,0,0,0,3.125,3.1875,0,4.857142857142857,0,0,0,0,0,0,0,0,5.25,5.375,0,12.571428571428571,0,0,0,0,0,21,7,3,21,0,0,17,0,0,17,0,0,11.333333333333334,5.428571428571429,5.333333333333333,11.333333333333334,0,0,12.117647058823529,0,0,12.117647058823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,19,0,0,0,0.0,0.0,0.3076923076923077,0.48717948717948717,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.3076923076923077,0.48717948717948717,0.0,0.0,0.0,0.8137254901960784,0.2734375,0,0,0,0,0.0,0.0,0.0,0.0,0,0.8137254901960784,0,0.12698412698412698,0.5,0.125,0,8,0,0,0.0,1.0,0.0,0.0,0.5,0.3488372093023256,0.5384615384615384,0.23076923076923078,10,5,0.617940199335548,0.4962406015037593,1.7741596638655461,0.38461538461538464,0.0,2.090277777777778,12,0.4230769230769231,0.4444444444444444,1
97,32,65,38,0,38,16,0,0,0,3,0,3,11.092307692307692,5.75,3.230769230769231,0,0,0,0,0,0,5.0,0,5.0,3.6666666666666665,0,3.6666666666666665,4.127272727272728,0,4.127272727272728,0,0,0,0,0,0,5,0,5,5,0,5,9,0,9,0,6.666666666666667,3.0,5.1875,3.1666666666666665,3.24,4.253968253968255,3.3333333333333335,3.3333333333333335,4.625,0,0,0,6.666666666666667,3.0,9.375,5.333333333333333,5.48,10.761904761904763,8.0,8.0,15.5,0,0,63,22,24,56,9,3,51,3,1,49,2,0,11.428571428571429,7.136363636363637,5.791666666666667,12.232142857142858,8.88888888888889,8.333333333333334,12.647058823529411,10.666666666666666,9.0,12.795918367346939,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,22,4,0,0,0,0.02631578947368421,0.10526315789473684,0.5789473684210527,0.10526315789473684,0.0,0.0,0.0,0,0,0,0,0,0,0,0.02631578947368421,0.10526315789473684,0.5789473684210527,0.10526315789473684,0.0,0.0,0.0,0.46889468788755684,0.21500000000000002,1,25,1,0,0.015384615384615385,0.38461538461538464,0.015384615384615385,0.0,0.7727272727272727,0.3058779149639778,0.02614880259957507,0.3434343434343434,0.315,0.1625,15,15,2,0,0.46875,0.46875,0.0625,0.0,1.0,0.3917525773195876,0.7846153846153846,0.7846153846153846,19,9,0.7835051546391752,0.59375,0.8452620967741935,0.41509433962264153,0.0297029702970297,2.425,28,0.5303030303030303,0.6216216216216216,4
488,230,258,336,152,184,6,100,34,66,0,0,0,13.832236842105264,3.847826086956522,3.317829457364341,0,0,0,10.0,0,3.0,8.166666666666668,0,2.3333333333333335,9.0,4.0,3.1666666666666665,9.835497835497835,4.511111111111111,4.954545454545455,0,0,0,10,0,3,13,0,3,17,4,5,26,11,12,1.0588235294117647,4.0476190476190474,3.4081632653061225,3.417525773195876,3.388888888888889,3.5,3.1261261261261257,0,0,5.5,0,0,13.764705882352942,4.0476190476190474,3.4081632653061225,12.845360824742269,5.777777777777778,6.0,16.56756756756757,0,0,19.0,0,0,301,74,59,297,40,9,289,4,1,283,2,1,13.943521594684386,7.081081081081081,6.169491525423729,14.057239057239057,8.15,8.222222222222221,14.22491349480969,9.5,10.0,14.335689045936396,10.0,10.0,0,0,0,0,0,0,0,0,0,4,144,4,0,0,0,8,14,50,104,0,0,0.0,0.023809523809523808,0.05357142857142857,0.5773809523809523,0.32142857142857145,0.0,0.0,0.0,0.0,0.02631578947368421,0.9473684210526315,0.02631578947368421,0.0,0.0,0.0,0.043478260869565216,0.07608695652173914,0.2717391304347826,0.5652173913043478,0.0,0.0,0.4591407407407411,0.14499999999999996,98,14,0,0,0.3798449612403101,0.05426356589147287,0.0,0.0,0.46507082660928806,0.2320199443413732,0.0,0.0078125,0.6550000000000005,0.16750000000000007,42,36,0,0,0.1826086956521739,0.1565217391304348,0.0,0.0,0.5,0.5896414342629482,0.39473684210526316,0.4144736842105263,41,17,0.3143426294820726,0.2356435643564356,0.26882316959203434,0.4684931506849315,0.3418079096045198,6.972222222222223,28,0.75,0.926829268292683,4
879,423,456,375,193,182,1,12,6,6,27,23,4,14.980806142034549,6.973995271867612,5.037280701754386,0,0,0,4.0,0,4.0,8.166666666666666,4.0,3.6666666666666665,10.466666666666667,3.6666666666666665,3.333333333333333,10.073083778966136,5.161764705882353,6.333333333333334,0,0,0,4,0,4,15,4,5,19,5,5,27,13,16,5.620689655172414,5.888888888888889,6.65625,4.512096774193548,3.0588235294117645,3.675324675324675,4.620614035087719,3.3333333333333335,3.3333333333333335,4.659090909090909,0,0,11.086206896551724,5.888888888888889,6.65625,17.637096774193548,5.117647058823529,6.35064935064935,14.236842105263158,8.0,8.0,16.553719008264462,0,0,518,351,247,487,182,53,468,104,46,446,95,27,15.057915057915057,7.880341880341881,7.1417004048583,15.64476386036961,9.428571428571429,10.415094339622641,15.955128205128204,10.5,10.782608695652174,16.298206278026907,10.642105263157895,12.037037037037036,0,0,0,0,0,0,0,0,0,6,159,28,0,0,0,0,9,42,131,0,0,0.0,0.0,0.04,0.536,0.424,0.0,0.0,0.0,0.0,0.031088082901554404,0.8238341968911918,0.14507772020725387,0.0,0.0,0.0,0.0,0.04945054945054945,0.23076923076923078,0.7197802197802198,0.0,0.0,0.33629629629629676,0.19062381852551985,192,77,5,0,0.42105263157894735,0.16885964912280702,0.010964912280701754,0.0,0.37846317116041456,0.18319491823695103,0.009874396135265697,0.033185840707964605,0.5334593572778833,0.23841209829867702,144,85,1,0,0.3404255319148936,0.20094562647754138,0.002364066193853428,0.0,0.5,0.6982658959537572,0.22264875239923224,0.236084452975048,74,25,0.43111753371868966,0.3669871794871795,0.35202783061618537,0.4573248407643312,0.18859364873622814,4.513043478260869,47,0.8297213622291022,0.8294573643410853,6
149,48,101,99,0,99,18,0,0,0,24,0,24,12.094827586206897,5.541666666666667,2.1782178217821784,0,0,0,0,0,0,2.0,0,2.0,2.3333333333333335,0,2.3333333333333335,3.6545454545454548,0,3.6545454545454548,0,0,0,0,0,0,2,0,2,3,0,3,8,0,8,0,6.5,3.0,3.0,3.3369565217391304,3.5,4.1976401179941005,0,0,4.5,0,0,0,6.5,3.0,5.0,5.673913043478261,6.0,12.327433628318584,0,0,15.0,0,0,115,34,4,112,7,0,109,2,0,103,2,0,12.2,6.705882352941177,5.25,12.375,8.857142857142858,0,12.495412844036696,11.0,0,12.699029126213592,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,22,9,0,0,0.030303030303030304,0.04040404040404041,0.0707070707070707,0.2222222222222222,0.09090909090909091,0.0,0.0,0,0,0,0,0,0,0,0.030303030303030304,0.04040404040404041,0.0707070707070707,0.2222222222222222,0.09090909090909091,0.0,0.0,0.4571842512210434,0.14560000000000006,1,1,0,0,0.009900990099009901,0.009900990099009901,0.0,0.0,0.6126984126984126,0.2712706019536207,0.0,0.07947019867549669,0.8528000000000003,0.12640000000000007,2,46,0,0,0.041666666666666664,0.9583333333333334,0.0,0.0,2.0,0.3310810810810811,0.3706896551724138,0.6637931034482759,34,13,1.2411642411642394,0.7842069434989789,0.958190745424788,0.4878048780487805,0.11020408163265306,1.6033333333333333,29,0.9787234042553191,0.75,3
71,17,54,54,0,54,1,0,0,0,0,0,0,13.648148148148149,5.0588235294117645,2.3703703703703702,0,0,0,0,0,0,6.0,0,6.0,4.333333333333333,0,4.333333333333333,4.333333333333333,0,4.333333333333333,0,0,0,0,0,0,6,0,6,6,0,6,9,0,9,0,0,0,0,3.176470588235294,0,3.5384615384615397,0,0,0,0,0,0,0,0,0,5.352941176470588,0,14.115384615384615,0,0,0,0,0,52,15,6,52,1,0,52,0,0,52,0,0,14.134615384615385,5.466666666666667,6.0,14.134615384615385,8.0,0,14.134615384615385,0,0,14.134615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,34,8,0,0,0,0.018518518518518517,0.07407407407407407,0.6296296296296297,0.14814814814814814,0.0,0.0,0.0,0,0,0,0,0,0,0,0.018518518518518517,0.07407407407407407,0.6296296296296297,0.14814814814814814,0.0,0.0,0.0,0.6814814814814815,0.32871972318339093,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.4458333333333333,0.0,0.02702702702702703,0.7854671280276819,0.058823529411764705,0,17,0,0,0.0,1.0,0.0,0.0,1.0,0.5230769230769231,0.5,0.5,14,7,0.7004524886877828,0.40621531631520535,1.7031076581576028,0.4318181818181818,0.22988505747126436,2.7083333333333335,17,0.7142857142857143,0.6470588235294118,3
