length,key,number_of_notes,total_measures,time_signature_num,time_signature_den,range,Grade
162,4,808,41,4,4,1281.802132,6
128,4,397,32,4,4,1026.323635,4
81,1,309,41,2,4,1274.316976,4
177,30,1730,118,3,8,973.0860692,6
359,2,1078,120,3,4,1071.568577,8
338,17,1881,169,2,4,1716.346471,5
64,16,214,31,2,4,348.6370149,3
64,2,260,32,2,4,477.3295358,3
510,14,2360,84,6,4,2735.555381,8
210,17,282,53,4,4,576.8482246,3
89,4,838,60,3,8,914.3504105,4
166,1,1558,83,2,4,981.0958699,7
104,16,188,26,4,4,489.3306768,6
96,4,463,32,6,8,914.3504105,7
207,1,498,52,4,4,1494.565552,6
836,8,4865,209,2,2,1062.481221,8
49,2,169,17,3,4,1076.660213,2
72,1,222,24,3,4,782.001141,2
208,20,544,52,4,4,1186.237465,5
156,8,1131,40,4,4,2135.054159,6
348,27,1690,87,4,4,918.4709448,6
40,2,176,14,6,8,914.3504105,3
40,25,241,20,2,4,652.20716,6
66,18,198,22,3,4,740.337343,6
73.5,1,410,37,2,4,685.992013,4
136.5,2,937,46,3,4,1469.982885,6
417,8,3329,138,3,4,604.2551138,7
308,1,1179,77,4,4,1612.219361,8
32,1,305,16,2,4,537.0492213,5
85,2,639,29,3,4,749.1872173,4
32,1,170,16,2,4,710.57468,2
112,2,729,28,4,4,710.57468,4
168,18,707,56,3,4,845.0204652,4
63.5,16,218,16,4,4,581.9155225,6
98,1,648,25,4,4,1727.296804,6
50,16,185,17,3,4,611.149405,3
108,6,363,36,6,8,797.5931108,6
261,21,812,87,3,4,1521.732441,6
198,23,483,66,3,4,863.0318653,4
53,2,166,18,3,4,685.992013,3
72,2,292,24,3,4,1076.660213,4
187,9,1321,94,2,4,1940.885376,6
100,30,344,25,4,4,905.3597133,5
72,30,234,24,3,4,454.3633151,3
88,1,785,22,4,4,981.0958699,5
42,3,361,21,2,4,1109.25268,4
63,16,168,16,4,4,718.5844806,3
68,19,309,17,4,4,1043.846289,1
323,2,1481,81,4,4,981.0958699,7
144,1,497,72,2,4,948.5034022,3
111,16,512,56,2,4,948.5034022,6
76,4,226,38,2,4,1133.513016,4
48,16,198,24,2,4,756.5291747,4
64,1,139,16,4,4,718.5844806,0
256,4,490,64,4,4,393.7506972,2
96,1,203,31,3,4,850.5045432,4
72,30,175,18,4,4,825,6
90,16,398,23,4,4,1087.352014,4
96,2,888,24,4,4,973.0860692,7
210,4,868,70,6,8,905.3597133,6
48,16,235,16,3,4,845.0204652,4
162,20,501,41,2,2,544.4722215,6
175,6,1234,44,4,4,1053.730524,6
25.5,17,130,17,3,8,845.0204652,6
56.5,22,486,29,2,4,1319.13118,6
48,2,101,16,3,4,641.9899864,1
64,21,119,16,2,2,1347.913496,3
74,4,313,19,4,4,1036.067756,4
140,22,1268,35,4,4,981.0958699,8
128,4,237,32,4,4,831.0005705,4
84,1,171,21,4,4,567.6436802,3
172,17,242,37,2,2,567.2539674,6
56,17,90,14,4,4,329.0695228,3
106,1,239,33,3,4,814.5936087,6
96,2,255,32,3,4,1187.697445,4
