Id,length,key,number_of_notes,total_measures,time_signature_num,time_signature_den,range,Grade
1,240.0,21,0,60,4,4,858.9113310568285,6
2,51.75,21,0,14,4,4,589.5507717815872,6
3,227.0,19,0,43,1,8,883.3280935384618,8
4,147.0,2,0,49,3,4,914.3504105328971,2
5,136.0,1,0,34,4,4,981.0958698772456,9
6,144.0,19,0,49,3,4,765.2030038347411,6
7,109.75,30,0,26,4,4,3468.0869128025124,7
8,240.0,2,0,80,3,4,806.5838080206486,4
9,114.0,1,0,81,3,8,1179.101543563175,6
10,96.0,18,0,25,4,4,866.9211317110307,9
11,98.75,8,0,25,4,4,684.9888454232691,8
12,160.0,8,0,43,1,16,905.3597132840314,7
13,92.0,19,0,47,2,4,1101.242879690279,8
14,227.75,4,0,104,4,4,1266.5971404539878,8
15,239.5,2,0,90,1,4,831.0005705022818,5
16,187.0,30,0,128,1,8,2582.020455302963,7
17,559.0,25,0,188,1,4,1609.305703122289,10
18,135.75,2,0,35,4,4,1076.6602126741936,3
19,239.0,4,0,121,2,4,914.3504105328971,6
20,48.0,1,0,25,2,4,782.0011410045631,1
21,48.0,17,0,12,4,4,457.8447392760478,2
22,82.0,18,0,21,4,4,866.9211317110307,8
23,111.75,21,0,29,4,4,981.0958698772456,10
24,490.5,1,0,173,2,2,1109.2526803444814,3
25,72.0,17,0,24,3,4,914.3504105328971,6
26,363.0,4,0,126,1,4,1424.977690846539,8
27,196.25,8,0,50,4,4,935.8535153147558,8
28,75.75,18,0,19,4,4,959.1952033441443,5
29,240.0,30,0,82,1,4,2582.020455302963,6
30,37.5,3,0,26,3,8,756.5291746859695,5
31,103.0,3,0,26,4,4,1005.2988165882865,7
32,264.0,18,0,88,3,4,1815.655616574643,7
33,192.0,17,0,65,3,4,858.9113310568285,2
34,68.0,2,0,17,4,4,585.8389218463883,1
35,38.0,2,0,20,2,4,685.9920129680618,1
36,192.0,21,0,33,12,8,981.0958698772456,9
37,95.5,30,0,36,1,8,567.6436802157089,4
38,94.5,2,0,48,2,4,653.1780893131997,2
39,143.75,17,0,48,3,4,858.9113310568285,4
40,180.16666666666666,17,0,104,4,4,3468.0869128025124,7
41,494.75,17,0,162,4,4,1445.32986197443,8
42,96.0,16,0,24,4,4,964.0953719741779,4
43,96.0,7,0,24,4,4,300.6987649674164,10
44,285.75,17,0,58,4,4,1353.2593968028914,10
45,37.75,2,0,20,2,4,889.7677435168116,1
46,38.0,1,0,20,2,4,653.1780893131997,1
47,100.25,1,0,26,4,4,994.5891740049021,5
48,44.0,1,0,12,4,4,814.5936086748508,5
49,576.0,17,0,97,3,2,625.0402708866562,6
50,123.0,16,0,34,4,4,718.5844806383494,1
51,395.25,4,0,134,4,4,1341.912925732017,9
52,135.25,21,0,34,4,4,722.2554593064835,8
53,143.25,16,0,49,3,4,866.9211317110307,3
54,160.0,3,0,44,1,4,922.3602111870993,3
55,374.0,14,0,126,4,4,2728.4194601388854,9
56,64.0,20,0,33,1,4,815.786582656658,1
57,219.0,20,0,36,12,8,2437.1027825791575,9
58,96.0,19,0,33,3,4,685.9920129680618,3
59,164.0,4,0,41,4,4,1105.363413925413,4
60,64.0,1,0,32,2,4,948.503402206958,2
61,76.0,5,0,27,4,4,678.2534327662536,8
62,615.0,1,0,155,4,4,981.0958698772456,7
63,119.0,2,0,41,4,4,782.0011410045631,3
64,247.75,8,0,62,4,4,1000.2529583634409,9
65,112.0,4,0,56,2,4,806.5838080206486,3
66,96.0,2,0,40,1,8,710.5746799841472,3
67,55.5,16,0,13,4,4,959.1952033441443,2
68,527.5,5,0,178,1,4,1387.4790851686305,8
69,79.75,16,0,22,1,8,581.9155224864857,4
70,26.0,1,0,14,2,4,782.0011410045631,1
71,108.0,21,0,27,4,4,457.8447392760478,8
72,167.0,19,0,44,4,4,845.0204651779294,2
73,38.25,4,0,13,3,4,806.5838080206486,1
74,192.0,19,0,64,3,4,834.3286640407431,3
75,86.25,5,0,40,9,16,918.4709447680309,9
76,516.0,14,0,86,6,4,2735.5553812742737,10
77,1011.0,22,0,332,3,4,2750.172322534909,10
78,95.75,19,0,33,3,4,806.5838080206486,5
79,124.5,12,0,64,1,8,2454.3680409045414,10
80,65.25,2,0,36,2,4,585.8389218463883,2
81,272.0,22,0,68,4,4,953.1187736401399,10
82,168.0,17,0,36,4,4,383.75687228987255,5
83,423.0,6,0,108,4,4,1934.3297604103898,10
84,84.0,2,0,29,3,4,889.7677435168116,6
85,64.0,27,0,16,4,4,737.7415691245448,10
86,140.0,1,0,35,4,4,814.5936086748508,10
87,102.25,3,0,31,4,4,3468.0869128025124,6
88,163.25,1,0,41,4,4,994.5891740049021,7
89,96.0,17,0,33,3,4,858.9113310568285,4
90,92.0,17,0,24,4,4,866.9211317110307,9
91,202.5,16,0,53,4,4,1309.605867873766,4
92,457.25,6,0,151,4,4,2602.372626430854,10
93,355.75,14,0,90,4,4,891.1240784220716,9
94,436.5,12,0,87,4,4,1620.0153457056733,10
